Changed database context to 'adventureworks'.
Name                                               Ganancia             
-------------------------------------------------- ---------------------
HL Road Frame - Black, 58                                       372.1900
HL Road Frame - Red, 58                                         372.1900
Sport-100 Helmet, Red                                            21.9037
Sport-100 Helmet, Black                                          21.9037
Mountain Bike Socks, M                                            6.1037
Mountain Bike Socks, L                                            6.1037
Sport-100 Helmet, Blue                                           21.9037
AWC Logo Cap                                                      2.0677
Long-Sleeve Logo Jersey, S                                       11.4977
Long-Sleeve Logo Jersey, M                                       11.4977
Long-Sleeve Logo Jersey, L                                       11.4977
Long-Sleeve Logo Jersey, XL                                      11.4977
HL Road Frame - Red, 62                                         562.8658
HL Road Frame - Red, 44                                         562.8658
HL Road Frame - Red, 48                                         562.8658
HL Road Frame - Red, 52                                         562.8658
HL Road Frame - Red, 56                                         562.8658
LL Road Frame - Black, 58                                       132.5949
LL Road Frame - Black, 60                                       132.5949
LL Road Frame - Black, 62                                       132.5949
LL Road Frame - Red, 44                                         150.0629
LL Road Frame - Red, 48                                         150.0629
LL Road Frame - Red, 52                                         150.0629
LL Road Frame - Red, 58                                         150.0629
LL Road Frame - Red, 60                                         150.0629
LL Road Frame - Red, 62                                         150.0629
ML Road Frame - Red, 44                                         242.6906
ML Road Frame - Red, 48                                         242.6906
ML Road Frame - Red, 52                                         242.6906
ML Road Frame - Red, 58                                         242.6906
ML Road Frame - Red, 60                                         242.6906
LL Road Frame - Black, 44                                       132.5949
LL Road Frame - Black, 48                                       132.5949
LL Road Frame - Black, 52                                       132.5949
HL Mountain Frame - Silver, 42                                  617.2998
HL Mountain Frame - Silver, 44                                  657.6890
HL Mountain Frame - Silver, 48                                  657.6890
HL Mountain Frame - Silver, 46                                  617.2998
HL Mountain Frame - Black, 42                                   610.5590
HL Mountain Frame - Black, 44                                   650.5072
HL Mountain Frame - Black, 48                                   650.5072
HL Mountain Frame - Black, 46                                   610.5590
HL Mountain Frame - Black, 38                                   610.5590
HL Mountain Frame - Silver, 38                                  617.2998
Road-150 Red, 62                                               1406.9758
Road-150 Red, 44                                               1406.9758
Road-150 Red, 48                                               1406.9758
Road-150 Red, 52                                               1406.9758
Road-150 Red, 56                                               1406.9758
Road-450 Red, 58                                                573.2817
Road-450 Red, 60                                                573.2817
Road-450 Red, 44                                                573.2817
Road-450 Red, 48                                                573.2817
Road-450 Red, 52                                                573.2817
Road-650 Red, 58                                                296.2834
Road-650 Red, 60                                                296.2834
Road-650 Red, 62                                                296.2834
Road-650 Red, 44                                                296.2834
Road-650 Red, 48                                                296.2834
Road-650 Red, 52                                                296.2834
Road-650 Black, 58                                              296.2834
Road-650 Black, 60                                              296.2834
Road-650 Black, 62                                              296.2834
Road-650 Black, 44                                              296.2834
Road-650 Black, 48                                              296.2834
Road-650 Black, 52                                              296.2834
Mountain-100 Silver, 38                                        1487.8356
Mountain-100 Silver, 42                                        1487.8356
Mountain-100 Silver, 44                                        1487.8356
Mountain-100 Silver, 48                                        1487.8356
Mountain-100 Black, 38                                         1476.8956
Mountain-100 Black, 42                                         1476.8956
Mountain-100 Black, 44                                         1476.8956
Mountain-100 Black, 48                                         1476.8956
Mountain-200 Silver, 38                                        1054.3705
Mountain-200 Silver, 42                                        1054.3705
Mountain-200 Silver, 46                                        1054.3705
Mountain-200 Black, 38                                         1043.0087
Mountain-200 Black, 42                                         1043.0087
Mountain-200 Black, 46                                         1043.0087
Mountain-300 Black, 38                                          481.5546
Mountain-300 Black, 40                                          481.5546
Mountain-300 Black, 44                                          481.5546
